,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8180,32ND SENATE,CRAIG WILCOX,REPUBLICAN,654,152,23.0,MCHENRY 29,2018_General Election
6238,32ND SENATE,MARY MAHADY,DEMOCRACT,492,145,29.0,MCHENRY 26,2018_General Election
8152,32ND SENATE,CRAIG WILCOX,REPUBLICAN,492,135,27.0,MCHENRY 26,2018_General Election
8124,32ND SENATE,CRAIG WILCOX,REPUBLICAN,749,129,17.0,MCHENRY 23,2018_General Election
8170,32ND SENATE,CRAIG WILCOX,REPUBLICAN,569,119,21.0,MCHENRY 28,2018_General Election
6261,32ND SENATE,MARY MAHADY,DEMOCRACT,654,108,17.0,MCHENRY 29,2018_General Election
8115,32ND SENATE,CRAIG WILCOX,REPUBLICAN,427,104,24.0,MCHENRY 22,2018_General Election
6208,32ND SENATE,MARY MAHADY,DEMOCRACT,427,80,19.0,MCHENRY 22,2018_General Election
3825,32ND SENATE,Under Votes,,739,14,2.0,MCHENRY 20,2018_General Election
3848,32ND SENATE,Under Votes,,1273,11,1.0,MCHENRY 21,2018_General Election
3988,32ND SENATE,Under Votes,,1249,11,1.0,MCHENRY 27,2018_General Election
3942,32ND SENATE,Under Votes,,1263,10,1.0,MCHENRY 25,2018_General Election
4036,32ND SENATE,Under Votes,,654,8,1.0,MCHENRY 29,2018_General Election
3894,32ND SENATE,Under Votes,,749,6,1.0,MCHENRY 23,2018_General Election
3871,32ND SENATE,Under Votes,,427,5,1.0,MCHENRY 22,2018_General Election
3917,32ND SENATE,Under Votes,,1208,4,0.0,MCHENRY 24,2018_General Election
3965,32ND SENATE,Under Votes,,492,4,1.0,MCHENRY 26,2018_General Election
4011,32ND SENATE,Under Votes,,569,3,1.0,MCHENRY 28,2018_General Election
3826,32ND SENATE,Over Votes,,739,0,0.0,MCHENRY 20,2018_General Election
3849,32ND SENATE,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
3872,32ND SENATE,Over Votes,,427,0,0.0,MCHENRY 22,2018_General Election
3895,32ND SENATE,Over Votes,,749,0,0.0,MCHENRY 23,2018_General Election
3918,32ND SENATE,Over Votes,,1208,0,0.0,MCHENRY 24,2018_General Election
3943,32ND SENATE,Over Votes,,1263,0,0.0,MCHENRY 25,2018_General Election
3966,32ND SENATE,Over Votes,,492,0,0.0,MCHENRY 26,2018_General Election
3989,32ND SENATE,Over Votes,,1249,0,0.0,MCHENRY 27,2018_General Election
4012,32ND SENATE,Over Votes,,569,0,0.0,MCHENRY 28,2018_General Election
4037,32ND SENATE,Over Votes,,654,0,0.0,MCHENRY 29,2018_General Election
8107,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1273,541,42.0,MCHENRY 21,2018_General Election
8134,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1208,364,30.0,MCHENRY 24,2018_General Election
8098,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,739,280,38.0,MCHENRY 20,2018_General Election
8181,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,654,196,30.0,MCHENRY 29,2018_General Election
8125,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,749,195,26.0,MCHENRY 23,2018_General Election
8153,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,492,183,37.0,MCHENRY 26,2018_General Election
8116,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,427,134,31.0,MCHENRY 22,2018_General Election
8171,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,569,111,20.0,MCHENRY 28,2018_General Election
3850,63RD REPRESENTATIVE,Under Votes,,1273,78,6.0,MCHENRY 21,2018_General Election
3919,63RD REPRESENTATIVE,Under Votes,,1208,57,5.0,MCHENRY 24,2018_General Election
3827,63RD REPRESENTATIVE,Under Votes,,739,53,7.0,MCHENRY 20,2018_General Election
